id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
348,35-44,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
349,45-54,man,United States of America,No,university educated,10+ years,0-2 years,non data role,"$125,000+"
350,18-24,man,Portugal,No,university educated,3-10 years,0-2 years,data role,"$30,000-$69,999"
351,35-44,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"$70,000-$124,999"
352,35-44,man,United States of America,No,university educated,10+ years,2-5 years,unknown/unemployed,
353,55+,man,Peru,No,no university,3-10 years,none,data role,"under $30,000"
354,18-24,woman,Egypt,Yes,unknown,none,unknown,unknown/unemployed,
355,25-34,other,Thailand,No,university educated,0-3 years,0-2 years,unknown/unemployed,
356,25-34,man,Turkey,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
357,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
358,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
359,45-54,man,South Korea,No,university educated,10+ years,unknown,unknown/unemployed,
360,35-44,man,United Kingdom of Great Britain and Northern Ireland,Yes,no university,0-3 years,none,unknown/unemployed,
361,45-54,man,Taiwan,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
362,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
363,18-24,woman,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
364,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
365,25-34,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
366,25-34,man,India,Yes,university educated,none,unknown,unknown/unemployed,
367,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
368,45-54,man,India,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
369,18-24,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
370,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
371,55+,man,United States of America,No,university educated,10+ years,2-5 years,non data role,"$70,000-$124,999"
372,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,
373,25-34,man,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
374,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
375,18-24,man,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
376,25-34,woman,United States of America,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
377,35-44,other,United States of America,No,no university,0-3 years,unknown,unknown/unemployed,
378,45-54,man,Nigeria,No,university educated,none,unknown,non data role,"under $30,000"
379,18-24,man,Indonesia,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
380,25-34,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
381,45-54,man,Other,Yes,university educated,10+ years,none,unknown/unemployed,
382,25-34,man,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
383,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
384,25-34,woman,"Iran, Islamic Republic of...",No,university educated,3-10 years,2-5 years,unknown/unemployed,
385,45-54,woman,India,No,university educated,10+ years,2-5 years,unknown/unemployed,
386,18-24,woman,Canada,Yes,university educated,0-3 years,unknown,unknown/unemployed,
387,35-44,woman,India,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
388,25-34,man,Ethiopia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
389,18-24,man,Pakistan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
390,25-34,man,Ethiopia,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
391,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
392,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
393,25-34,woman,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
394,25-34,man,Other,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
395,25-34,woman,Turkey,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
396,35-44,man,Thailand,No,university educated,10+ years,none,non data role,"under $30,000"
397,45-54,man,Thailand,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
398,25-34,woman,India,No,university educated,3-10 years,unknown,unknown/unemployed,
399,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
400,35-44,woman,France,No,university educated,10+ years,5+ years,non data role,"$30,000-$69,999"
401,45-54,woman,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
402,35-44,man,Bangladesh,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
403,55+,man,South Korea,No,university educated,10+ years,2-5 years,data role,"$70,000-$124,999"
404,45-54,woman,Brazil,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
405,35-44,woman,United States of America,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
406,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
407,45-54,man,Russia,No,no university,10+ years,5+ years,data role,"$30,000-$69,999"
408,35-44,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
409,25-34,man,Colombia,No,no university,3-10 years,0-2 years,data role,"under $30,000"
410,25-34,man,Colombia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
411,35-44,man,Morocco,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
412,18-24,man,Italy,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
413,25-34,man,Indonesia,No,unknown,0-3 years,none,non data role,"under $30,000"
414,18-24,man,Russia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
415,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
416,18-24,man,Viet Nam,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
417,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
418,45-54,man,India,No,university educated,10+ years,2-5 years,non data role,"$30,000-$69,999"
419,45-54,man,Poland,No,university educated,10+ years,5+ years,data role,"under $30,000"
420,45-54,man,Japan,No,unknown,3-10 years,none,unknown/unemployed,
421,35-44,woman,Brazil,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
422,25-34,man,Indonesia,Yes,university educated,none,unknown,unknown/unemployed,
423,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
424,18-24,man,Other,Yes,no university,3-10 years,none,unknown/unemployed,
425,25-34,woman,"Iran, Islamic Republic of...",Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
426,25-34,man,Netherlands,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
427,45-54,woman,Mexico,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
428,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
429,18-24,woman,India,No,university educated,3-10 years,2-5 years,unknown/unemployed,
430,25-34,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
431,35-44,woman,Israel,No,university educated,3-10 years,5+ years,data role,
432,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
433,18-24,other,Other,Yes,university educated,0-3 years,unknown,unknown/unemployed,
434,45-54,man,Brazil,No,no university,10+ years,0-2 years,data role,"under $30,000"
435,35-44,woman,India,No,university educated,none,unknown,non data role,"under $30,000"
436,25-34,man,United States of America,No,university educated,0-3 years,none,non data role,
437,35-44,woman,United States of America,No,university educated,3-10 years,0-2 years,data role,"$70,000-$124,999"
438,25-34,man,Mexico,No,university educated,0-3 years,none,non data role,
439,35-44,man,India,No,unknown,unknown,unknown,unknown/unemployed,
440,25-34,woman,Saudi Arabia,No,university educated,0-3 years,0-2 years,non data role,"$30,000-$69,999"
441,25-34,man,Peru,No,university educated,3-10 years,5+ years,data role,"$30,000-$69,999"
442,18-24,man,Mexico,Yes,university educated,0-3 years,none,unknown/unemployed,
443,25-34,woman,Australia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
444,35-44,man,India,No,university educated,10+ years,2-5 years,data role,
445,18-24,man,India,Yes,unknown,unknown,unknown,unknown/unemployed,
446,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
447,18-24,man,Other,Yes,no university,3-10 years,5+ years,unknown/unemployed,
448,35-44,man,"Iran, Islamic Republic of...",No,university educated,10+ years,2-5 years,non data role,"under $30,000"
449,45-54,man,India,No,university educated,10+ years,2-5 years,data role,"under $30,000"
450,25-34,man,Egypt,No,no university,10+ years,5+ years,data role,"$125,000+"
451,45-54,man,India,No,university educated,10+ years,5+ years,non data role,"under $30,000"
452,35-44,man,United States of America,No,university educated,0-3 years,none,non data role,"$125,000+"
453,18-24,woman,India,Yes,university educated,unknown,unknown,unknown/unemployed,
454,25-34,woman,United States of America,No,university educated,none,unknown,unknown/unemployed,
455,35-44,man,Bangladesh,No,university educated,0-3 years,none,non data role,"under $30,000"
456,35-44,woman,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
457,25-34,man,India,No,unknown,none,unknown,non data role,"under $30,000"
458,18-24,man,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
459,25-34,man,Nepal,No,university educated,0-3 years,none,data role,
460,18-24,woman,India,No,university educated,0-3 years,none,non data role,"under $30,000"
461,25-34,man,Brazil,No,university educated,3-10 years,2-5 years,non data role,"$30,000-$69,999"
462,55+,man,United States of America,No,university educated,3-10 years,5+ years,non data role,"under $30,000"
463,45-54,man,Mexico,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
464,18-24,woman,Romania,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
465,25-34,man,India,Yes,university educated,none,unknown,unknown/unemployed,
466,18-24,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
467,18-24,woman,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
468,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
469,18-24,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"$70,000-$124,999"
470,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
471,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
472,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
473,55+,man,Czech Republic,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
474,18-24,man,Pakistan,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
475,18-24,man,India,No,university educated,3-10 years,2-5 years,unknown/unemployed,
476,25-34,woman,India,Yes,university educated,none,unknown,unknown/unemployed,
477,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
478,55+,man,Brazil,No,university educated,10+ years,2-5 years,data role,"$30,000-$69,999"
479,25-34,man,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
480,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
481,35-44,woman,Kenya,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
482,35-44,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
483,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
484,45-54,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,
485,25-34,man,Russia,No,unknown,0-3 years,none,unknown/unemployed,
486,25-34,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
487,25-34,woman,India,No,university educated,unknown,unknown,unknown/unemployed,
488,55+,man,United States of America,No,university educated,0-3 years,none,unknown/unemployed,
489,55+,man,Philippines,No,university educated,3-10 years,2-5 years,unknown/unemployed,
490,25-34,man,Peru,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
491,25-34,man,United States of America,No,no university,3-10 years,0-2 years,unknown/unemployed,
492,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
493,18-24,man,Russia,Yes,no university,0-3 years,none,unknown/unemployed,
494,18-24,man,India,Yes,unknown,none,unknown,unknown/unemployed,
495,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
496,25-34,other,India,No,university educated,0-3 years,none,unknown/unemployed,
497,25-34,man,Nigeria,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
498,18-24,man,Other,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
499,25-34,man,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
500,18-24,man,Turkey,Yes,university educated,0-3 years,none,unknown/unemployed,
501,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
502,25-34,man,India,No,no university,0-3 years,unknown,unknown/unemployed,
503,35-44,man,Russia,No,unknown,0-3 years,none,data role,
504,25-34,man,India,No,unknown,unknown,unknown,unknown/unemployed,
505,18-24,woman,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
506,18-24,woman,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
507,18-24,man,Other,Yes,university educated,0-3 years,none,unknown/unemployed,
508,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
509,25-34,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
510,18-24,man,Nigeria,Yes,university educated,3-10 years,unknown,unknown/unemployed,
511,35-44,man,United States of America,No,university educated,0-3 years,2-5 years,non data role,"$70,000-$124,999"
512,45-54,man,Canada,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
513,18-24,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
514,35-44,man,India,No,university educated,0-3 years,0-2 years,data role,"$70,000-$124,999"
515,35-44,other,Italy,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
516,18-24,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
517,25-34,man,India,Yes,university educated,none,unknown,unknown/unemployed,
518,25-34,man,United States of America,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
519,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
520,55+,man,Thailand,No,university educated,10+ years,0-2 years,data role,"under $30,000"
521,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
